Loan Amount,Funded Amount,Loan Term,Interest Rate,Loan Grade,Loan SubGrade,Employee Title,Employemen Length,Annual Income,Verification Status,Loan Issued Date,Loan Status,Loan Purpose,Title,Address State,Month since last Delinquency,Outstanding Principal,Total Payment,Total Recvd Principal,Total Recvd Interest,Total Recvd Late fees
28000,11800, 60 months,19.91%,E,E4,American Airlines,10+ years,52000,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consalidation,TX,,0,12181.32,4281.54,4759.37,0
24000,24000, 36 months,15.96%,C,C5,lafidale inc,8 years,90000,Source Verified,11-Dec,Charged Off,home_improvement,home improve,CA,,0,5903.1,3813.57,2082.11,0
11100,11100, 36 months,6.62%,A,A2,Aetna ,10+ years,41000,Verified,11-Dec,Charged Off,credit_card,Help me out,PA,,0,8124.54,6516.79,976.85,0
12000,12000, 36 months,9.91%,B,B1,Luxottica Retail,2 years,42000,Not Verified,11-Dec,Charged Off,debt_consolidation,Consolidation,MN,,0,11242.49,9011.72,1807.88,0
10000,10000, 36 months,11.71%,B,B3,karl strauss brewing company,8 years,60000,Not Verified,11-Dec,Charged Off,debt_consolidation,consolidation loan,CA,,0,6002.38,4293.91,1388.86,0
13475,13475, 60 months,13.49%,C,C1,vons,10+ years,25000,Verified,11-Dec,Charged Off,credit_card,Bills,CA,,0,6199.8,3516.74,2682.15,0
5600,5600, 36 months,14.65%,C,C3,O'Reilly Auto Parts,1 year,85000,Not Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,AZ,11,0,1352.19,905.39,445.47,0
2500,2500, 36 months,7.51%,A,A3,,n/a,12000,Source Verified,11-Dec,Charged Off,debt_consolidation,GET FREE OF DEBT,CA,,0,1838.88,1575.06,253.74,0
10000,10000, 36 months,13.49%,C,C1,Edgestone Real Estate,5 years,65000,Not Verified,11-Dec,Charged Off,small_business,Small Business Loan,CA,19,0,9270.84,6799.56,2011.75,0
7750,7750, 36 months,17.27%,D,D3,US Bank,< 1 year,24000,Not Verified,11-Dec,Charged Off,debt_consolidation,Payoff Loan,IL,41,0,6934,4935.39,1986.7,0
20000,20000, 60 months,20.89%,F,F1,Independent Imaging,6 years,70000,Source Verified,11-Dec,Charged Off,debt_consolidation,Loan to pay off Credit cards,FL,,0,5427.53,1318.27,3034.08,0
21000,21000, 60 months,11.71%,B,B3,Calix,3 years,60000,Not Verified,11-Dec,Charged Off,debt_consolidation,Consolidate me 2011,CA,,0,3712.56,2142.87,1565.37,0
15000,15000, 36 months,16.77%,D,D2,Schneider National Inc,10+ years,42000,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,WI,,0,13373.77,8365.66,3923.4,0
15000,15000, 36 months,17.27%,D,D3,Santa Clara County Public Defender,8 years,75000,Source Verified,11-Dec,Charged Off,debt_consolidation,debt consolidation,CA,48,0,10199.39,6944.85,3238.39,0
16000,16000, 36 months,12.69%,B,B5,Marsh,1 year,58500,Source Verified,11-Dec,Charged Off,debt_consolidation,Consolidation,IL,,0,12295.72,9479.47,2778.95,26.83551087
12000,12000, 36 months,14.27%,C,C2,Corning Inc.,8 years,70000,Not Verified,11-Dec,Charged Off,other,Debt Consolidation Loan,NY,,0,4249.37,2534.26,1163.48,0
13650,13650, 36 months,12.42%,B,B4,ITT Aerospace Controls,10+ years,86000,Not Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,CA,,0,8204.31,5810.73,1931.92,0
10500,10500, 36 months,16.29%,D,D1,Butte Community College,3 years,30000,Source Verified,11-Dec,Charged Off,debt_consolidation,Personal,CA,,0,2223.96,1414.89,807.27,0
15075,15075, 36 months,14.27%,C,C2,JPMorgan Chase Bank,10+ years,35000,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,TX,,0,15502.77,11609.04,3374.45,0
9500,9500, 36 months,12.69%,B,B5,San Diego Unified School District,< 1 year,52500,Source Verified,11-Dec,Charged Off,moving,Moved to California,CA,,0,7010.96,5366.65,1635.51,0
7200,7200, 36 months,7.90%,A,A4,"St. Mary's Health Care System, Inc.",3 years,68000,Source Verified,11-Dec,Charged Off,debt_consolidation,Bank of America Pay-Off Loan,GA,,0,7738.96,6744.17,907.62,14.97905838
26000,26000, 60 months,16.77%,D,D2,PepsiCo,10+ years,53000,Verified,11-Dec,Charged Off,home_improvement,Home Improvement,NC,,0,9626.02,3946.3,4391.9,0
7000,7000, 60 months,11.71%,B,B3,WA State vDSHS,6 years,69600,Verified,11-Dec,Charged Off,credit_card,Debt consolidation,WA,,0,6143.14,3452.36,1790.2,0
10000,10000, 36 months,12.69%,B,B5,nor cal beverage,2 years,70000,Not Verified,11-Dec,Charged Off,credit_card,credit cards,CA,,0,6352.74,4513.35,1505.13,0
15600,15600, 60 months,12.69%,B,B5,corbett industries,10+ years,50000,Source Verified,11-Dec,Charged Off,vacation,vacation loan,NY,,0,17152.34,11631.87,5262.21,0
4000,4000, 36 months,12.69%,B,B5,XOXO Salon,2 years,25000,Not Verified,11-Dec,Charged Off,debt_consolidation,Car loan,CO,,0,2029.25,1373.86,498.22,0
10000,10000, 36 months,12.42%,B,B4,First National Bank of St. Louis,10+ years,39000,Source Verified,11-Dec,Charged Off,credit_card,credit card consolidation,MO,,0,11604.88,9635.96,1956.9,0
12000,12000, 36 months,8.90%,A,A5,"Time Escrow, Inc.",7 years,80000,Not Verified,11-Dec,Charged Off,other,credit card consolidating,CA,,0,10411.4,8330.52,1564.56,0
16000,16000, 60 months,13.49%,C,C1,,10+ years,35000,Verified,11-Dec,Charged Off,small_business,Small Business,NC,,0,10351.24,5147.59,3678.41,0
11875,11875, 60 months,12.69%,B,B5,Guardsmark,< 1 year,25920,Source Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,CA,,0,1187.65,285.76,248.58,0
14000,14000, 36 months,7.90%,A,A4,interim health care,10+ years,45600,Not Verified,11-Dec,Charged Off,debt_consolidation,debt consolidation,WV,,0,6132.98,5053.24,1077.08,0
8000,8000, 36 months,16.29%,D,D1,St. Rose San Martin,5 years,50000,Not Verified,11-Dec,Charged Off,credit_card,credit debt,NV,,0,4535,2798.78,1436.44,0
30000,30000, 60 months,12.42%,B,B4,,3 years,70000,Source Verified,11-Dec,Charged Off,small_business,Patent and manufacturing.,TX,,0,17183.47,8464.18,5679.62,33.68658497
18000,18000, 60 months,16.77%,D,D2,Old Republic Home Protection,6 years,40000,Not Verified,11-Dec,Charged Off,home_improvement,Personal Loan,CA,,0,11229.37,4677.94,4651.94,0
20000,20000, 60 months,20.30%,E,E5,federal,10+ years,59000,Verified,11-Dec,Charged Off,debt_consolidation,life changing,AK,,0,16063.42,6317.7,7790.84,0
9000,9000, 60 months,19.91%,E,E4,Responsive Learning Technologies,3 years,60000,Verified,11-Dec,Charged Off,credit_card,Cards,CA,,0,5236,2327.73,2899.91,0
25000,25000, 60 months,18.64%,E,E1,KINGS COUNTY DISTRICT ATTORNEY'S OFFICE,10+ years,61500,Verified,11-Dec,Charged Off,debt_consolidation,CLEAR UP,NY,22,0,25775.38,13993.4,11732.12,32.18
20000,20000, 60 months,15.27%,C,C4,Level 3 Communications,10+ years,78216,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,CA,,0,5799.88,2367.51,2405.39,0
18000,18000, 60 months,17.27%,D,D3,NEXCOM,1 year,62000,Verified,11-Dec,Charged Off,debt_consolidation,outofdebt,VA,61,0,20808.83,11594.61,8172.87,0
5000,5000, 36 months,12.42%,B,B4,The Newell Group,2 years,30000,Source Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation - Dec 2011,SC,,0,835.4,587.51,246.19,0
12000,12000, 36 months,9.91%,B,B1,Shaws,10+ years,55000,Not Verified,11-Dec,Charged Off,debt_consolidation,Zero Balance Project,RI,,0,5859.43,4244.34,1162.46,0
10000,10000, 36 months,11.71%,B,B3,chevron station,5 years,32000,Not Verified,11-Dec,Charged Off,credit_card,lovely,FL,,0,1962.02,1186.67,464.08,0
24000,24000, 36 months,8.90%,A,A5,Tech Data Corp,10+ years,116400,Verified,11-Dec,Charged Off,car,Car loan and pay off my family,FL,,0,8653.52,6036.95,1580.45,0
12000,12000, 36 months,11.71%,B,B3,Firestone Complete Auto Care,10+ years,57200,Source Verified,11-Dec,Charged Off,debt_consolidation,consolidation,MA,,0,3572.28,2613.54,951.36,0
10000,10000, 36 months,12.69%,B,B5,Grey Goose Restaurant,2 years,35000,Source Verified,11-Dec,Charged Off,debt_consolidation,Stress relief,KY,,0,7690.46,5358.77,1671.4,0
9750,9750, 36 months,7.51%,A,A3,Grand Wailea,4 years,35000,Not Verified,11-Dec,Charged Off,debt_consolidation,Consolidation,HI,,0,5156.78,4327.31,823.52,0
3000,3000, 60 months,19.03%,E,E2,AT and T,3 years,53004,Source Verified,11-Dec,Charged Off,other,Ring,FL,19,0,4549.249996,2847.55,1669.49,15
25000,25000, 60 months,19.42%,E,E3,San Francisco Public Library,10+ years,60000,Verified,11-Dec,Charged Off,credit_card,refinance,CA,,0,29415.85,11624.71,11255.08,0
8875,8875, 36 months,12.69%,B,B5,wells fargo,5 years,35360,Verified,11-Dec,Charged Off,debt_consolidation,credit card debt,PA,,0,2052.99,1251.86,528.58,0
12000,12000, 36 months,8.90%,A,A5,Sterling Savings Bank,3 years,32000,Source Verified,11-Dec,Charged Off,debt_consolidation,Bye-bye high interest rates!,OR,,0,8747.3,6603.89,1390.81,0
15000,15000, 60 months,12.69%,B,B5,Pkm Panel Systems Corp.,3 years,30000,Verified,11-Dec,Charged Off,debt_consolidation,leave mistakes behind,NJ,,0,9543.84,4881.73,3227.63,0
8050,8050, 36 months,12.69%,B,B5,PBM&M,1 year,36000,Source Verified,11-Dec,Charged Off,debt_consolidation,debt consolidation,WA,,0,1335.61,748.57,327.43,0
6000,6000, 60 months,7.90%,A,A4,Fidelity Investments,< 1 year,30084,Verified,11-Dec,Charged Off,debt_consolidation,Personal Loan,KY,,0,3662.31,2298.98,836.88,0
1500,1500, 36 months,18.64%,E,E1,Willowood Care Center,< 1 year,17000,Source Verified,11-Dec,Charged Off,other,Personal ,OH,,0,561.42,300.67,191.27,0
20000,16925, 60 months,14.65%,C,C3,Macy's,10+ years,75000,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,CA,,0,3615.93,1819.26,1773.35,19.91218684
1000,1000, 36 months,14.65%,C,C3,,n/a,18408,Not Verified,11-Dec,Charged Off,major_purchase,Myloan,NJ,,0,91.39,22.24,12.18,0
8500,8500, 36 months,14.27%,C,C2,Costco Pharmacy,9 years,50000,Source Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,PA,,0,2450.67,1378.65,657.23,0
33425,20675, 60 months,13.49%,C,C1,Travelers insurance,2 years,75000,Source Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,NY,,0,19893.95,13371.26,6512.03,0
18000,18000, 60 months,11.71%,B,B3,Di-Matrix,< 1 year,40000,Source Verified,11-Dec,Charged Off,debt_consolidation,My Freedom loan,AZ,,0,10859.88,5690.48,3448.57,0
20000,20000, 60 months,16.77%,D,D2,US Postal Service,10+ years,60000,Verified,11-Dec,Charged Off,debt_consolidation,debt free,CA,28,0,18799.72,9606.12,7667.87,0
14400,14400, 36 months,18.25%,D,D5,NAVFAC/Naval Station Newport,5 years,51871,Verified,11-Dec,Charged Off,debt_consolidation,2012 New Beginnings,RI,,0,7871.82,4684.23,2613.83,0
4200,4200, 60 months,17.27%,D,D3,physicians surgery center of tempe,9 years,43000,Source Verified,11-Dec,Charged Off,debt_consolidation,Credit Card Consolidation,AZ,82,0,4200,2381.46,1807.62,0
3000,3000, 36 months,10.65%,B,B2,ADP,10+ years,86004,Not Verified,11-Dec,Charged Off,other,Lending Club,NJ,,0,2241.56,1629.41,417.88,0
15000,15000, 36 months,16.29%,D,D1,Bentall Kennedy,1 year,110000,Verified,11-Dec,Charged Off,small_business,Short-Term Business Loan,TX,4,0,1874.13,655.77,402.57,0
10000,10000, 36 months,17.27%,D,D3,MACYS,8 years,68000,Not Verified,11-Dec,Charged Off,debt_consolidation,PAYOFF,MT,,0,8589.12,6067.35,2507.07,0
16000,16000, 36 months,7.90%,A,A4,"Gugino & Mortimer, PLC",1 year,51000,Source Verified,11-Dec,Charged Off,debt_consolidation,Pay off Chase,AZ,,0,11931.26,9323.14,1688.52,0
2200,2200, 36 months,15.27%,C,C4,Regent care center,10+ years,48000,Not Verified,11-Dec,Charged Off,debt_consolidation,Truck repair,TX,76,0,2294,353.21,182.71,0
25000,25000, 60 months,19.42%,E,E3,hudson national golf club,10+ years,105000,Verified,11-Dec,Charged Off,credit_card,personnel,NY,,0,36098.36,21873.39,14095.46,0
8000,8000, 60 months,8.90%,A,A5,St. Johnland,1 year,51204,Not Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,NY,68,0,4639.04,3271.74,1367.3,0
35000,23250, 60 months,20.30%,E,E5,The Crexent Business Centers,3 years,85000,Verified,11-Dec,Charged Off,debt_consolidation,FREEDOM debt,FL,82,0,3099.4,1169.59,1923.91,0
12000,12000, 60 months,14.65%,C,C3,Hawaiian Airlines,< 1 year,75000,Verified,11-Dec,Charged Off,credit_card,Refinance,HI,,0,7695.78,3606.06,2908,0
21250,21250, 36 months,12.42%,B,B4,SHOWBOAT CASINO,5 years,37000,Verified,11-Dec,Charged Off,other,"Debt-Paying, Wife-Helping",NJ,68,0,8880.24,6569.76,2266.76,0
15000,15000, 36 months,15.27%,C,C4,Hudson Hotel,10+ years,60000,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,NY,,0,6380.91,3871.69,1853.48,0
4000,4000, 36 months,12.69%,B,B5,publix,6 years,30000,Not Verified,11-Dec,Charged Off,home_improvement,home improvement,FL,48,0,2157.3,1481.95,526.55,0
4000,4000, 60 months,19.91%,E,E4,Newell Rubbermaid Inc,10+ years,45000,Source Verified,11-Dec,Charged Off,house,mortgage,PA,,0,1778.68,660.29,924.37,0
1700,1700, 36 months,7.90%,A,A4,,n/a,37800,Not Verified,11-Dec,Charged Off,home_improvement,Home Improvement,CO,,0,1221.23,940.44,174.03,0
12000,12000, 36 months,14.65%,C,C3,Carefusion,6 years,54400,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,WA,,0,11043.04,8359.5,2683.54,0
8000,8000, 60 months,20.30%,E,E5,DOW Networks,1 year,42500,Source Verified,11-Dec,Charged Off,debt_consolidation,Consolidation Loan,GA,,0,8505.34,2173.49,3335.6,0
13000,13000, 36 months,16.29%,D,D1,TR furniture,10+ years,28000,Source Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,NC,,0,8769.17,5318.23,3008.91,0
24000,24000, 60 months,17.58%,D,D4,Department of Defense,5 years,68809,Verified,11-Dec,Charged Off,debt_consolidation,Consolidation,FL,,0,4408.9,1567.87,2049.17,0
11200,11200, 36 months,12.42%,B,B4,myrvpartsplace.com,3 years,75000,Not Verified,11-Dec,Charged Off,car,Car,CA,,0,4230.94,2702.91,1033.89,0
12000,12000, 36 months,14.27%,C,C2,vogue beauty salon,2 years,28000,Source Verified,11-Dec,Charged Off,credit_card,Credit cards bills,CA,,0,5432.27,3441.99,1490.13,0
28000,28000, 36 months,7.90%,A,A4,North Fork Holdings,4 years,118000,Verified,11-Dec,Charged Off,home_improvement,Home Improvement,IL,,0,9961.52,7125.17,1634.43,0
3000,3000, 36 months,7.90%,A,A4,Port of Everett,10+ years,65000,Not Verified,11-Dec,Charged Off,other,Other,WA,,0,2722.52,2357.46,362.58,0
8575,8575, 36 months,17.58%,D,D4,,n/a,32000,Verified,11-Dec,Charged Off,debt_consolidation,major purchase,FL,,0,4646.17,2808.63,1497.35,0
28000,18625, 60 months,12.42%,B,B4,marist school,8 years,84996,Verified,11-Dec,Charged Off,debt_consolidation,DebtConsol,GA,,0,14653.66,12259.35,2001.31,20.8906275
16000,16000, 60 months,18.25%,D,D5,Allied Waste,10+ years,49000,Verified,11-Dec,Charged Off,credit_card,Credit Card,OH,,0,8578.08,4035.93,4540.73,0
11000,11000, 36 months,7.90%,A,A4,BCI,4 years,80000,Not Verified,11-Dec,Charged Off,credit_card,Debt consolidation,AZ,,0,3097.8,2508.54,585.66,0
5000,5000, 36 months,16.29%,D,D1,Clarks co. North America,6 years,85000,Source Verified,11-Dec,Charged Off,medical,Medical ,WA,,0,4059.73,2907.06,1148.99,0
10000,10000, 36 months,12.69%,B,B5,daja ventures,6 years,36000,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,CA,,0,9758.77,7421.06,1947.62,0
3000,3000, 36 months,16.29%,D,D1,H. Lee Moffitt Cancer Center,4 years,65000,Not Verified,11-Dec,Charged Off,other,Medical Leave - Household Expenses,FL,,0,2706.67,1830.43,709.12,0
7700,7700, 36 months,16.77%,D,D2,State of Texas,3 years,29772.96,Source Verified,11-Dec,Charged Off,other,line of credit,TX,,0,4913.02,3153.85,1486.98,0
24500,24500, 60 months,20.89%,F,F1,Investigroup,4 years,85000,Verified,11-Dec,Charged Off,credit_card,Credit refinance,NJ,,0,3998.52,962.75,1679.05,0
22200,22200, 36 months,19.42%,E,E3,Grace & Growth Family Services,2 years,160000,Source Verified,11-Dec,Charged Off,debt_consolidation,debt consolidation,CA,69,0,9177.26,4940.21,3242.59,0
13000,13000, 36 months,7.90%,A,A4,FedEx Office,10+ years,28000,Not Verified,11-Dec,Charged Off,credit_card,Hello,MN,,0,6737.2,5072.35,1208.26,0
3600,3600, 36 months,12.69%,B,B5,State of Michigan,10+ years,60000,Not Verified,11-Dec,Charged Off,medical,Pay Medical Bills,MI,,0,3618.55,2785.13,711.48,0
12375,12375, 60 months,23.13%,G,G2,University of Central Florida,5 years,40000,Not Verified,11-Dec,Charged Off,other,Purchase,FL,78,0,8530.26,2444.99,4602.6,0
7100,7100, 36 months,14.65%,C,C3,90 miles cuban cafe,1 year,33000,Not Verified,11-Dec,Charged Off,debt_consolidation,Amex,IL,,0,3918.56,2774.87,1140.33,0
22400,22400, 60 months,22.74%,G,G1,JPMORGAN CHASE,6 years,85000,Not Verified,11-Dec,Charged Off,credit_card,credit_card Loan,NY,14,0,26381.46,12893.89,13482.63,0
22250,22250, 36 months,12.69%,B,B5,garden of eden,2 years,41000,Verified,11-Dec,Charged Off,debt_consolidation,consolidation loan,NY,,0,19580.94,14038,4421.84,0
7650,7650, 36 months,11.71%,B,B3,may trucking,5 years,57000,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,CA,,0,3104.81,2056.23,720.94,0
20675,20675, 60 months,15.27%,C,C4,Hammer Creative,7 years,50132,Verified,11-Dec,Charged Off,other,music production loan,CA,,0,5937.6,2979.22,2949.62,0
20500,20500, 60 months,12.69%,B,B5,UltraTech Inc,< 1 year,47800,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,CA,,0,7897.74,3976.64,2960.71,0
29000,29000, 60 months,12.42%,B,B4,U.S.Postal Service,10+ years,65000,Verified,11-Dec,Charged Off,debt_consolidation,Go Steelers,PA,,0,14327.94,8619.3,5699.18,0
12000,12000, 36 months,15.96%,C,C5,UNITED LIGHTING & ELECTRICAL GROUP,9 years,88000,Not Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation,NY,,0,4638.15,3074.42,1552.18,0
10000,10000, 36 months,13.49%,C,C1,Oswego County Opportunities,10+ years,30000,Not Verified,11-Dec,Charged Off,debt_consolidation,Credit Card Payoff,NY,,0,4750.34,3411.93,1328.05,0
21600,21600, 36 months,17.27%,D,D3,,2 years,58600,Source Verified,11-Dec,Charged Off,home_improvement,improvement,TX,,0,2726.3,930.13,614.53,0
8250,8250, 60 months,19.91%,E,E4,Lowes,3 years,27500,Not Verified,11-Dec,Charged Off,wedding,Wedding bills,OR,,0,5316.54,1579.15,2124.3,0
12000,12000, 36 months,12.42%,B,B4,HSA-UWC,< 1 year,60000,Source Verified,11-Dec,Charged Off,car,Credit Cards Consolidation Loan,RI,,0,9546.76,6788.45,2019.47,0
7200,7200, 36 months,11.71%,B,B3,Eq Cargo and trading corp,2 years,33000,Not Verified,11-Dec,Charged Off,credit_card,Credit Card Loan,FL,,0,7338.4,5810.48,1323.62,0
10000,10000, 36 months,11.71%,B,B3,Chrysalis Inc.,5 years,35000,Not Verified,11-Dec,Charged Off,debt_consolidation,debt consolidation loan,NV,,0,7293.6,5109.87,1489.33,0
10000,10000, 36 months,14.27%,C,C2,Gannett Publishing Services,10+ years,77400,Verified,11-Dec,Charged Off,credit_card,Credit card,SD,,0,6884.68,3787.77,2245.4,0
6000,6000, 36 months,14.27%,C,C2,Safco capital Corporation,7 years,30000,Not Verified,11-Dec,Charged Off,credit_card,Payment,CA,,0,6528.97,4997.41,1372.03,0
7000,7000, 36 months,16.77%,D,D2,The M&A Advisor,< 1 year,41000,Source Verified,11-Dec,Charged Off,wedding,My loan,NY,,0,1582.62,944.53,637.66,0
3000,3000, 36 months,12.69%,B,B5,las nenas fashion,10+ years,30000,Not Verified,11-Dec,Charged Off,debt_consolidation,consolidation,CA,,0,1137.33,721.02,282.78,0
13200,13200, 36 months,11.71%,B,B3,Fletcher's Plumbing & Contracting Inc.,2 years,41600,Not Verified,11-Dec,Charged Off,debt_consolidation,CC Consolidate - Home Improve,CA,,0,4940.14,3210.7,1147.2,0
20000,20000, 60 months,18.25%,D,D5,St.Bernard Hospital,7 years,70000,Verified,11-Dec,Charged Off,small_business,Trading business,IL,,0,23981.15,13187.2,9767.18,0
14125,14125, 36 months,12.42%,B,B4,,n/a,45696,Verified,11-Dec,Charged Off,debt_consolidation,DEBT  CONSOLIDATION,NC,,0,6608,4875.95,1724.91,0
18000,18000, 36 months,13.49%,C,C1,golden living summitt,< 1 year,66000,Source Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,PA,,0,13380.5,2950.75,1315.4,0
35000,21350, 60 months,20.89%,F,F1,"16th MP BDE, U.S. Army",10+ years,71316,Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,NC,23,0,1152.54,412.29,738.91,0
16000,16000, 60 months,17.58%,D,D4,Rodney Lough Galleries,< 1 year,50000,Not Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,NV,,0,1699.98,338.39,465.55,0
12000,12000, 36 months,7.51%,A,A3,Buddy Media,< 1 year,83000,Source Verified,11-Dec,Charged Off,debt_consolidation,Credit Consolidation,NY,,0,3536.41,2435.23,547.09,0
13000,13000, 36 months,20.30%,E,E5,gap inc,5 years,42000,Not Verified,11-Dec,Charged Off,debt_consolidation,smart,OH,,0,6565.39,3536.97,2483.96,0
7125,7125, 36 months,7.51%,A,A3,Apria Healthcare,< 1 year,30000,Not Verified,11-Dec,Charged Off,debt_consolidation,Loan #1,MO,,0,3103.78,2306.14,520.74,0
9600,9600, 36 months,7.51%,A,A3,Riverside County,10+ years,55000,Verified,11-Dec,Charged Off,debt_consolidation,Debt reducer,CA,,0,7120.37,5595.77,959.79,0
12000,12000, 60 months,12.69%,B,B5,"Wells Fargo Insurance Services USA, Inc.",10+ years,63000,Not Verified,11-Dec,Charged Off,debt_consolidation,Debt Consolidation Loan,CA,25,0,12973.19,886.61,736.51,0
